ticker,date,weighted_joy,weighted_fear,weighted_anger,weighted_sadness,weighted_surprise,weighted_neutral,weighted_polarity,topic_score,headline_count,label_1d,label_3d,label_5d,emotion_std,weighted_joy_prev,weighted_fear_prev,weighted_anger_prev,weighted_sadness_prev,weighted_surprise_prev,dominant_emotion
TSLA,2024-03-28,0.15213836605657957,0.003392058734835146,0.0033123382488381915,0.0005511462248582799,0.7040064278934892,0.0018119985190765743,0.8488892507415371,0.8200690746307373,2,0,0,0,0.30401557768883153,0.04487002330655684,0.002435361738120473,0.0017686332652166008,0.0026883201204004037,0.4293378325756336,4
TSLA,2024-04-10,0.0296305512615022,0.017079612517763864,0.03521644967434763,0.008993089379017487,0.6908900398138514,0.020232432984701867,0.6592314395042245,0.720930814743042,1,1,0,0,0.2989876707703244,0.15213836605657957,0.003392058734835146,0.0033123382488381915,0.0005511462248582799,0.7040064278934892,4
TSLA,2024-04-17,0.008330957440818505,0.36843482090174184,0.09038847116805777,0.1517695058262043,0.7740801327553903,0.014168031428586044,0.17181829230020496,0.8050537109375,3,0,0,1,0.3074596584115576,0.0296305512615022,0.017079612517763864,0.03521644967434763,0.008993089379017487,0.6908900398138514,4
TSLA,2024-04-22,0.11949267728996738,0.00508568113642078,0.010804074586758177,0.0014373136575659181,0.7629721899618859,0.048215659052868176,0.8651377978711081,0.8158391714096069,1,1,1,1,0.3296303288481658,0.008330957440818505,0.36843482090174184,0.09038847116805777,0.1517695058262043,0.7740801327553903,4
TSLA,2024-04-23,0.05977343823296154,0.20447072252503237,0.04606943182469131,0.11378883400458494,0.6270381793016568,0.02878502705099447,0.3224826291803097,0.7419804334640503,2,1,1,1,0.2411685070718708,0.11949267728996738,0.00508568113642078,0.010804074586758177,0.0014373136575659181,0.7629721899618859,4
TSLA,2024-04-24,0.04489287373563296,0.04611892420333037,0.023321053859745134,0.018943722230653465,0.8207645907132459,0.3808841676934793,0.7772737641551498,0.8634047210216522,2,1,1,1,0.3523707798651135,0.05977343823296154,0.20447072252503237,0.04606943182469131,0.11378883400458494,0.6270381793016568,4
TSLA,2024-05-14,0.15793595107385547,0.003065082878486938,0.0011009400494112224,0.0007832922883287108,0.5746082944712292,0.004760311754554234,0.7275949303288578,0.8067135512828827,2,0,0,1,0.24816845419629374,0.04489287373563296,0.04611892420333037,0.023321053859745134,0.018943722230653465,0.8207645907132459,4
TSLA,2024-05-23,0.061540604470282645,0.026330271332962018,0.011163640400568603,0.005206702867026938,0.7886879606183612,0.13358735512035474,0.8075279504880862,0.8187134265899658,1,1,1,1,0.3417588554247854,0.15793595107385547,0.003065082878486938,0.0011009400494112224,0.0007832922883287108,0.5746082944712292,4
TSLA,2024-05-30,0.1601542718719173,0.005364182571718769,0.012076097015759363,0.0008049555511887174,0.6250920192571812,0.023182471181344852,0.7670010559904316,0.7467336654663086,1,0,0,0,0.2680694645554859,0.061540604470282645,0.026330271332962018,0.011163640400568603,0.005206702867026938,0.7886879606183612,4
TSLA,2024-06-10,0.11292910315929827,0.005769876302087109,0.11411247162984756,0.004232320913549731,0.844560661425767,0.02177135607309531,0.8333750957395807,0.8756893277168274,1,0,1,1,0.35536422276282187,0.1601542718719173,0.005364182571718769,0.012076097015759363,0.0008049555511887174,0.6250920192571812,4
TSLA,2024-06-14,0.002816838824201178,0.0026953578733785017,0.011012202498461708,0.0016978865814158246,0.6658933306462699,0.0012921774323951625,0.6533047225172149,0.9554653763771056,1,1,1,1,0.2957830469406406,0.11292910315929827,0.005769876302087109,0.11411247162984756,0.004232320913549731,0.844560661425767,4
TSLA,2024-06-21,0.013050288609172456,0.003848881070095121,0.002435604502385983,0.0006489505142946995,0.6590062819482583,0.0041831224266729505,0.6651231344706549,0.7359318137168884,1,0,1,1,0.2925214825645562,0.002816838824201178,0.0026953578733785017,0.011012202498461708,0.0016978865814158246,0.6658933306462699,4
TSLA,2024-06-24,0.005068642997403638,0.27175822106440245,0.10037177916447337,0.0010896280020255796,0.6738632518745966,0.0018148545598440438,0.3057122666410988,0.6825703978538513,1,1,1,1,0.2813543228356387,0.013050288609172456,0.003848881070095121,0.002435604502385983,0.0006489505142946995,0.6590062819482583,4
TSLA,2024-07-08,0.0015451098181845978,0.021667356037861386,0.002837657432472255,0.0025276105845020267,0.6716142343613818,0.002663761511336227,0.6461267201247307,0.827755481004715,2,1,0,0,0.29727858320009554,0.005068642997403638,0.27175822106440245,0.10037177916447337,0.0010896280020255796,0.6738632518745966,4
TSLA,2024-07-23,0.005385034174754076,0.06661001462600065,0.003503613130073628,0.0008004200389682645,0.6185570277537523,0.00758781528675808,0.5530280141334637,0.6499052047729492,1,0,0,0,0.2695025985766513,0.0015451098181845978,0.021667356037861386,0.002837657432472255,0.0025276105845020267,0.6716142343613818,4
TSLA,2024-07-24,0.0019547219805904157,0.16616199923110062,0.10923636183232928,0.2344059178489842,0.7512225726919759,0.023026509956405268,0.2433730157601522,0.7596930861473083,2,1,1,1,0.2914632098028833,0.005385034174754076,0.06661001462600065,0.003503613130073628,0.0008004200389682645,0.6185570277537523,4
TSLA,2024-07-29,0.0007581567090130497,0.0031964314011985687,0.0005982052003111305,0.0005855942226854708,0.4675426497954298,0.0019580016580285665,0.46392057568024764,0.7611595988273621,1,0,0,0,0.20851987286171897,0.0019547219805904157,0.16616199923110062,0.10923636183232928,0.2344059178489842,0.7512225726919759,4
TSLA,2024-08-06,0.1825993992476267,0.04124212021647094,0.013958241642658754,0.008475556761775006,0.6433935699655322,0.03854733393716356,0.7623170505922541,0.8701660931110382,2,0,0,1,0.26970505211004725,0.0007581567090130497,0.0031964314011985687,0.0005982052003111305,0.0005855942226854708,0.4675426497954298,4
