Ticker,Target,Experiment,Model,Accuracy,F1,Balanced Accuracy
MSFT,label_1d,Topic + Emotion,RandomForest,0.5581,0.4571,0.5439
MSFT,label_1d,Topic + Emotion,GradientBoosting,0.5116,0.4615,0.5077
MSFT,label_3d,Baseline,LogisticRegression,0.5116,0.5714,0.6095
MSFT,label_3d,Baseline,RandomForest,0.3721,0.5263,0.5179
MSFT,label_3d,Baseline,GradientBoosting,0.3721,0.5263,0.5179
MSFT,label_3d,Topic Only,LogisticRegression,0.3488,0.5172,0.5
MSFT,label_3d,Topic Only,RandomForest,0.5349,0.4737,0.55
MSFT,label_3d,Topic Only,GradientBoosting,0.5581,0.4865,0.5679
MSFT,label_3d,Emotion Only,LogisticRegression,0.4186,0.5098,0.5226
MSFT,label_3d,Emotion Only,RandomForest,0.4419,0.4286,0.4786
MSFT,label_3d,Emotion Only,GradientBoosting,0.4651,0.4651,0.5119
MSFT,label_3d,Topic + Emotion,LogisticRegression,0.4884,0.5,0.5452
MSFT,label_3d,Topic + Emotion,RandomForest,0.5116,0.5116,0.5631
MSFT,label_3d,Topic + Emotion,GradientBoosting,0.4884,0.5217,0.5607
MSFT,label_5d,Baseline,LogisticRegression,0.4651,0.5818,0.5244
MSFT,label_5d,Baseline,RandomForest,0.4419,0.6,0.52
MSFT,label_5d,Baseline,GradientBoosting,0.4419,0.6,0.52
MSFT,label_5d,Topic Only,LogisticRegression,0.4186,0.5902,0.5
MSFT,label_5d,Topic Only,RandomForest,0.5349,0.5652,0.5611
MSFT,label_5d,Topic Only,GradientBoosting,0.4651,0.439,0.47
MSFT,label_5d,Emotion Only,LogisticRegression,0.3488,0.5172,0.4167
MSFT,label_5d,Emotion Only,RandomForest,0.4884,0.6207,0.56
MSFT,label_5d,Emotion Only,GradientBoosting,0.3256,0.4082,0.3578
MSFT,label_5d,Topic + Emotion,LogisticRegression,0.5349,0.6154,0.5844
MSFT,label_5d,Topic + Emotion,RandomForest,0.5116,0.6316,0.58
MSFT,label_5d,Topic + Emotion,GradientBoosting,0.3256,0.4314,0.3656
NVDA,label_1d,Baseline,LogisticRegression,0.4615,0.4324,0.4632
NVDA,label_1d,Baseline,RandomForest,0.5128,0.5366,0.5118
NVDA,label_1d,Baseline,GradientBoosting,0.5128,0.5366,0.5118
NVDA,label_1d,Topic Only,LogisticRegression,0.3846,0.25,0.3895
NVDA,label_1d,Topic Only,RandomForest,0.5641,0.5143,0.5671
NVDA,label_1d,Topic Only,GradientBoosting,0.5385,0.5263,0.5395
NVDA,label_1d,Emotion Only,LogisticRegression,0.5385,0.55,0.5382
NVDA,label_1d,Emotion Only,RandomForest,0.5385,0.4375,0.5434
NVDA,label_1d,Emotion Only,GradientBoosting,0.5385,0.5263,0.5395
NVDA,label_1d,Topic + Emotion,LogisticRegression,0.5128,0.4571,0.5158
NVDA,label_1d,Topic + Emotion,RandomForest,0.5385,0.4706,0.5421
NVDA,label_1d,Topic + Emotion,GradientBoosting,0.5641,0.5143,0.5671
NVDA,label_3d,Baseline,LogisticRegression,0.5897,0.5789,0.5952
NVDA,label_3d,Baseline,RandomForest,0.4615,0.5333,0.4524
NVDA,label_3d,Baseline,GradientBoosting,0.4615,0.5333,0.4524
NVDA,label_3d,Topic Only,LogisticRegression,0.5641,0.6047,0.5595
NVDA,label_3d,Topic Only,RandomForest,0.4615,0.4878,0.4603
NVDA,label_3d,Topic Only,GradientBoosting,0.4872,0.5455,0.4802
NVDA,label_3d,Emotion Only,LogisticRegression,0.5128,0.6275,0.4921
NVDA,label_3d,Emotion Only,RandomForest,0.4359,0.5217,0.4246
NVDA,label_3d,Emotion Only,GradientBoosting,0.4103,0.4651,0.4048
NVDA,label_3d,Topic + Emotion,LogisticRegression,0.4359,0.5217,0.4246
NVDA,label_3d,Topic + Emotion,RandomForest,0.5128,0.5957,0.5
NVDA,label_3d,Topic + Emotion,GradientBoosting,0.4359,0.5217,0.4246
NVDA,label_5d,Baseline,LogisticRegression,0.5897,0.619,0.5992
NVDA,label_5d,Baseline,RandomForest,0.5897,0.619,0.5992
NVDA,label_5d,Baseline,GradientBoosting,0.5897,0.619,0.5992
NVDA,label_5d,Topic Only,LogisticRegression,0.4872,0.6429,0.5238
NVDA,label_5d,Topic Only,RandomForest,0.4872,0.5833,0.5079
NVDA,label_5d,Topic Only,GradientBoosting,0.5641,0.6383,0.5833
NVDA,label_5d,Emotion Only,LogisticRegression,0.4872,0.6,0.5119
NVDA,label_5d,Emotion Only,RandomForest,0.4872,0.5652,0.504
NVDA,label_5d,Emotion Only,GradientBoosting,0.5385,0.55,0.5437
NVDA,label_5d,Topic + Emotion,LogisticRegression,0.5897,0.6364,0.6032
NVDA,label_5d,Topic + Emotion,RandomForest,0.5641,0.6222,0.5794
NVDA,label_5d,Topic + Emotion,GradientBoosting,0.6667,0.6977,0.6786
TSLA,label_1d,Baseline,LogisticRegression,0.4737,0.6429,0.5
TSLA,label_1d,Baseline,RandomForest,0.5263,0.5263,0.5278
TSLA,label_1d,Baseline,GradientBoosting,0.5263,0.5263,0.5278
TSLA,label_1d,Topic Only,LogisticRegression,0.4737,0.6429,0.5
TSLA,label_1d,Topic Only,RandomForest,0.4211,0.4407,0.4241
TSLA,label_1d,Topic Only,GradientBoosting,0.4035,0.4138,0.4056
TSLA,label_1d,Emotion Only,LogisticRegression,0.5439,0.5,0.5407
TSLA,label_1d,Emotion Only,RandomForest,0.5263,0.5091,0.5259
TSLA,label_1d,Emotion Only,GradientBoosting,0.5965,0.5818,0.5963
TSLA,label_1d,Topic + Emotion,LogisticRegression,0.5439,0.5357,0.5444
TSLA,label_1d,Topic + Emotion,RandomForest,0.4737,0.5,0.4778
TSLA,label_1d,Topic + Emotion,GradientBoosting,0.5789,0.52,0.5741
TSLA,label_3d,Baseline,LogisticRegression,0.4561,0.4364,0.4727
TSLA,label_3d,Baseline,RandomForest,0.4912,0.3556,0.4675
TSLA,label_3d,Baseline,GradientBoosting,0.4912,0.3556,0.4675
TSLA,label_3d,Topic Only,LogisticRegression,0.5088,0.125,0.4312
TSLA,label_3d,Topic Only,RandomForest,0.4386,0.36,0.4331
TSLA,label_3d,Topic Only,GradientBoosting,0.4912,0.3556,0.4675
TSLA,label_3d,Emotion Only,LogisticRegression,0.5263,0.4,0.5045
TSLA,label_3d,Emotion Only,RandomForest,0.386,0.3137,0.3818
TSLA,label_3d,Emotion Only,GradientBoosting,0.5439,0.4583,0.5357
TSLA,label_3d,Topic + Emotion,LogisticRegression,0.4386,0.36,0.4331
TSLA,label_3d,Topic + Emotion,RandomForest,0.4211,0.3774,0.4273
TSLA,label_3d,Topic + Emotion,GradientBoosting,0.386,0.2857,0.3734
TSLA,label_5d,Baseline,LogisticRegression,0.3158,0.2909,0.3247
TSLA,label_5d,Baseline,RandomForest,0.3509,0.1778,0.3195
TSLA,label_5d,Baseline,GradientBoosting,0.3509,0.1778,0.3195
TSLA,label_5d,Topic Only,LogisticRegression,0.4211,0.5479,0.5117
TSLA,label_5d,Topic Only,RandomForest,0.5614,0.4681,0.55
TSLA,label_5d,Topic Only,GradientBoosting,0.5614,0.4681,0.55
TSLA,label_5d,Emotion Only,LogisticRegression,0.3684,0.25,0.3506
TSLA,label_5d,Emotion Only,RandomForest,0.4035,0.2609,0.3792
TSLA,label_5d,Emotion Only,GradientBoosting,0.4035,0.2917,0.3877
TSLA,label_5d,Topic + Emotion,LogisticRegression,0.3333,0.2692,0.3305
TSLA,label_5d,Topic + Emotion,RandomForest,0.3684,0.3077,0.3675
TSLA,label_5d,Topic + Emotion,GradientBoosting,0.4035,0.32,0.3961
